event_title,platform,event_date_raw,location,url,price
AICTE  ISTE Sponsored (NCEE 2025),AllEvents,20 Jun Onwards,Sri Ramakrishna Institute of Technology,https://allevents.in/coimbatore/aicte-iste-sponsored-ncee-2025-tickets/80003416551529,"INR 885"
India Intex Expo 2025,AllEvents,20-22 Jun,Codissia Trade Fair Complex,https://allevents.in/coimbatore/india-intex-expo-2025-tickets/80001727540603,Free
Toastmasters Club - Coimbatore Speakers Forum,AllEvents,20 Jun Onwards,"The Coimbatore Branch Of SIRC of ICAI Bhawan, Diwan Bahadur Road, R.S. Puram, Coimbatore, Tamil Nadu, India",https://allevents.in/coimbatore/toastmasters-club-coimbatore-speakers-forum-tickets/80001991692215,Free
Upcoming Dubai Real Estate Event in Coimbatore Book Your Ticket Free,AllEvents,"Sat, 28 Jun",Le Meridien,https://allevents.in/coimbatore/upcoming-dubai-real-estate-event-in-coimbatore-book-your-ticket-free-tickets/80001102809551,Free
INTERIO & EXTERIO EXPO 2025,AllEvents,08-10 Aug,Codissia Trade Fair Centre,https://allevents.in/coimbatore/interio-and-exterio-expo-2025-tickets/80002366728280,Free
India Poultry Show 2026,AllEvents,23-25 Jan,Codissia Trade Fair Complex,https://allevents.in/coimbatore/india-poultry-show-2026-tickets/80006933199582,Free
TOPLAST - Total Plastics Exhibition,AllEvents,01-03 Aug,Codissia Trade Centre,https://allevents.in/coimbatore/toplast-total-plastics-exhibition/200028173158942,Free
INDIA FOOD AND DRINK PROCESSING EXPO 2025,AllEvents,02-04 Jul,Codissia Trade Fair Complex,https://allevents.in/coimbatore/india-food-and-drink-processing-expo-2025/3700027829071724,Free
INDIA HORECA EXPO - COIMBATORE 2025,AllEvents,02-04 Jul,Codissia Trade Fair Complex,https://allevents.in/coimbatore/india-horeca-expo-coimbatore-2025/3700027773942820,Free
Diwali Shopping Expo,AllEvents,18-19 Oct,Ukkadam lake view,https://allevents.in/coimbatore/diwali-shopping-expo/80003229030855,Free
GO GLAM SHOPPING EXHIBITION,AllEvents,25-27 Jul,Suguna Kalyana Mandapam,https://allevents.in/coimbatore/go-glam-shopping-exhibition/80001700424473,Free
WAREMAT - Warehousing Material Handling Storage Logistics Transportation and Supply Chain Expo,AllEvents,01-03 Aug,"Codissia Trade Fair Complex Road, Coimbatore, India",https://allevents.in/coimbatore/waremat-warehousing-material-handling-storage-logistics-transportation-and-supply-chain-expo/200028173159342,Free
